datetime;Chosica;matucana;SanCristobal;SanMateodeOtao;SantaEulalia;YuracmayoEdegel;SantiagodeTuna;Antacoto;Antioquia;PuenteCupiche;Tamboraque;Agocancha;Casapalca;ShequeSedapal;Autisha;Yaso;ObrajilloSedapal;Huaros;Pariacancha;Collac;Torococha;PatahuaySapicancha;Marcapomacocha;PuenteSalidaMarcapomacocha;MillocEdegel;PuenteMagdalenaII;mes_sin;mes_cos;dia_sin;dia_cos;hora_sin;hora_cos;Caudal
17-11-2023 17:00;0;0;0;0;0;0.055045802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.593820186;0.80459778;0.599906585;0.800070053;-0.965925826;-0.258819045;20.33455
17-11-2023 18:00;0;0;0;0;0;0;0;0;0.005834796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.623489802;0.781831482;0.600894136;0.799328617;-1;-8.69E-12;19.76794
17-11-2023 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.652287411;0.757971723;0.60188077;0.798585962;-0.965925826;0.258819045;21.46858
17-11-2023 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003864661;0.003864661;0.003864661;0.000387915;0;0;0;0;0.680172738;0.733051872;0.602866487;0.797842089;-0.866025404;0.5;21.46858
17-11-2023 21:00;0.024999999;0;0;0;0.024999999;0;0;0;0.055;0.024999999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.707106781;0.707106781;0.603851285;0.797096999;-0.707106781;0.707106781;21.46858
17-11-2023 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.733051872;0.680172738;0.604835161;0.796350694;-0.5;0.866025404;20.90144
17-11-2023 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.757971723;0.652287411;0.605818115;0.795603174;-0.258819045;0.965925826;20.90144
18-11-2023 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.781831482;0.623489802;0.606800146;0.794854441;-1.13E-11;1;20.90144
18-11-2023 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.80459778;0.593820186;0.607781251;0.794104496;0.258819045;0.965925826;18.33473
18-11-2023 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.826238774;0.563320058;0.608761429;0.79335334;0.5;0.866025404;18.33473
18-11-2023 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.846724199;0.532032077;0.609740679;0.792600974;0.707106781;0.707106781;20.05121
18-11-2023 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.866025404;0.5;0.610718999;0.7918474;0.866025404;0.5;20.05121
18-11-2023 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.884115394;0.467268628;0.611696387;0.791092618;0.965925826;0.258819045;20.61796
18-11-2023 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.900968868;0.433883739;0.612672843;0.790336629;1;1.38E-11;20.05121
